date,stop_loss_price,code,score
2025-07-15,2.77,601975,0.11486470119864264
2025-07-16,2.77,601975,0.1128235164182648
2025-07-17,2.77,601975,0.11078734980941587
2025-07-18,2.77,601975,0.10903981601821205
2025-07-21,2.77,601975,0.12372284848073925
2025-07-22,2.77,601975,0.13571165747974795
2025-07-23,2.77,601975,0.12610565766018333
2025-07-24,2.77,601975,0.17848656793538084
2025-07-25,2.77,601975,0.14237726443479357
2025-07-28,2.77,601975,0.10536278079241622
2025-07-29,2.77,601975,0.03278351490183732
2025-09-11,3.12,601975,0.37711754083905497
2025-09-12,3.12,601975,0.4657846484398659
2025-09-15,3.12,601975,0.35882297144372177
2025-09-16,3.12,601975,0.35648854872481467
2025-09-17,3.12,601975,0.3728956348406825
2025-09-18,3.12,601975,0.3764940517483231
2025-09-19,3.12,601975,0.34398796752236954
2025-09-22,3.12,601975,0.3297099975335691
2025-09-23,3.12,601975,0.2362157016828403
2025-09-24,3.12,601975,0.25149455224229667
2025-09-25,3.12,601975,0.08695334857520771
2025-09-26,3.12,601975,0.06289096848294827
2025-09-29,3.12,601975,0.07702085367611815
2025-09-30,3.12,601975,0.06857548909126689
2025-10-09,3.12,601975,0.0772242542000758
2025-10-10,3.12,601975,0.2556949128336498
2025-10-13,3.12,601975,0.4240367347942807
2025-10-14,3.12,601975,0.2933271587588518
2025-10-15,3.12,601975,0.28756226053714834
2025-10-16,3.12,601975,0.28104591131253276
2025-10-17,3.12,601975,0.26737966657249324
2025-10-20,3.12,601975,0.30280948750118986
2025-10-21,3.12,601975,0.2945423961851463
2025-10-22,3.12,601975,0.2612315697531993
2025-10-23,3.12,601975,0.24641526853295437
2025-10-24,3.12,601975,0.21165797904920636
2025-10-27,3.12,601975,0.13405880215938665
2025-10-28,3.12,601975,0.04706054736246907
2025-07-24,1.61,601992,0.518163370550464
2025-07-25,1.61,601992,0.4098775419181058
2025-07-28,1.61,601992,0.35852366462922636
2025-07-29,1.61,601992,0.3002423275190483
2025-07-30,1.61,601992,0.2900604551703979
2025-07-31,1.61,601992,0.25931405422260756
2025-08-01,1.61,601992,0.17603294138013442
2025-08-04,1.61,601992,0.15102461718657975
2025-08-05,1.61,601992,0.16474464179700737
2025-08-06,1.61,601992,0.17714541991635338
2025-08-07,1.61,601992,0.18047707216882655
2025-08-08,1.61,601992,0.18484583175336947
2025-08-11,1.61,601992,0.2181105515961963
2025-08-12,1.61,601992,0.21018855272042145
2025-08-13,1.61,601992,0.19318972810737423
2025-08-14,1.61,601992,0.19331065390384744
2025-08-15,1.61,601992,0.1751867750208245
2025-08-18,1.61,601992,0.18532345436302214
2025-08-19,1.61,601992,0.18395918789556281
2025-08-20,1.61,601992,0.19423755117011846
2025-08-21,1.61,601992,0.2227040827914053
2025-08-22,1.61,601992,0.25830912455051147
2025-08-25,1.61,601992,0.2805732954908822
2025-08-26,1.61,601992,0.23790386135056227
2025-08-27,1.61,601992,0.2881773835431267
2025-08-28,1.61,601992,0.24628284446782572
2025-08-29,1.61,601992,0.17142513879762833
2025-09-01,1.61,601992,0.06377911610451896
2025-10-15,1.72,601992,0.40987493158155713
2025-10-16,1.72,601992,0.3854052041561406
2025-10-17,1.72,601992,0.32795195619962864
2025-10-20,1.72,601992,0.27584236968709785
2025-10-21,1.72,601992,0.3316335125260489
2025-10-22,1.72,601992,0.31228154133288016
2025-10-23,1.72,601992,0.3128227272570239
2025-10-24,1.72,601992,0.3197352611722644
2025-10-27,1.72,601992,0.29431563173910114
2025-10-28,1.72,601992,0.2674415661999247
2025-10-29,1.72,601992,0.22399687266287108
2025-10-30,1.72,601992,0.18494074638733526
2025-10-31,1.72,601992,0.2017121888454033
2025-11-03,1.72,601992,0.19086251277349953
2025-11-04,1.72,601992,0.22859094522907666
2025-11-05,1.72,601992,0.24754788951404727
2025-11-06,1.72,601992,0.2527263525129463
2025-11-07,1.72,601992,0.23350796575158358
2025-11-10,1.72,601992,0.24901004247178893
2025-11-11,1.72,601992,0.27596563514078926
2025-11-12,1.72,601992,0.25859955004212637
2025-11-13,1.72,601992,0.26169349439168266
2025-11-14,1.72,601992,0.3083918177745181
2025-11-17,1.72,601992,0.21194562473756196
2025-11-18,1.72,601992,0.3877273370578589
2025-11-19,1.72,601992,0.21801599623904117
2025-11-20,1.72,601992,0.1884852783454354
2025-11-21,1.72,601992,0.028838824043115534
2025-03-03,33.17,601995,0.40761089949812446
2025-03-04,33.17,601995,0.5214843035721746
2025-03-05,33.17,601995,0.6106148294201993
2025-03-06,33.17,601995,0.5007984270295612
2025-03-07,33.17,601995,0.44375391377456175
2025-03-10,33.17,601995,0.3929426171030943
2025-03-11,33.17,601995,0.32913803169360023
2025-03-12,33.17,601995,0.5155415236472609
2025-03-13,33.17,601995,0.42535178175270927
2025-03-14,33.17,601995,0.5674813821357382
2025-03-17,33.17,601995,0.4138329012408033
2025-03-18,33.17,601995,0.3845116918510986
2025-03-19,33.17,601995,0.3019832077590529
2025-03-20,33.17,601995,0.21817142380286192
2025-03-21,33.17,601995,0.19672418318605442
2025-03-24,33.17,601995,0.16891443897056316
2025-03-25,33.17,601995,0.1624903780884264
2025-03-26,33.17,601995,0.13604906041949713
2025-03-27,33.17,601995,0.15465383407759378
2025-03-28,33.17,601995,0.15706064827258343
2025-03-31,33.17,601995,0.17607006812793577
2025-04-01,33.17,601995,0.15972985585678465
2025-04-02,33.17,601995,0.12111284273932368
2025-04-03,33.17,601995,0.10204221089257698
2025-04-07,33.17,601995,0.04711541795455019
2025-04-08,33.17,601995,0.034126827692000164
2025-04-09,33.17,601995,0.06831327352769184
2025-04-10,33.17,601995,0.042835199416056804
2025-01-08,6.14,603001,0.4722695205583831
2025-01-09,6.14,603001,0.04399898421139061
2025-01-10,6.14,603001,0.008757836103277877
2025-01-13,6.14,603001,0.0063316647697203654
2025-01-14,6.14,603001,0.006533972212969492
2025-01-15,6.14,603001,0.0064754188832934
2025-01-16,6.14,603001,0.006213959383521278
2025-01-17,6.14,603001,0.006241372612628377
2025-01-20,6.14,603001,0.0060517589598095955
2025-01-21,6.14,603001,0.005976972124767491
2025-01-22,6.14,603001,0.006298092991584172
2025-01-23,6.14,603001,0.006328599063185286
2025-01-24,6.14,603001,0.005842915278538234
2025-01-27,6.14,603001,0.006435701189780422
2025-02-05,6.14,603001,0.005934420511394757
2025-02-06,6.14,603001,0.006030594742532991
2025-02-07,6.14,603001,0.005980454046134471
2025-02-10,6.14,603001,0.006185817913934824
2025-02-11,6.14,603001,0.006180207644762638
2025-02-12,6.14,603001,0.006063309485278943
2025-02-13,6.14,603001,0.005725561079021959
2025-02-14,6.14,603001,0.0043227648254300245
2025-03-19,5.03,603001,0.5128262967451515
2025-03-20,5.03,603001,0.5124308652636987
2025-03-21,5.03,603001,0.4683147974282508
2025-03-24,5.03,603001,0.4578380303436496
