date,code,open,high,low,close,volume,name,score,limit_date,wash_date,wash_turnover_rate,wash_turnover_tier,wash_turnover_min,wash_turnover_max,wash_float_market_cap,confirm_return,confirm_high_return,volume_ratio,buy_price,next_date,next_high_return,next_close_return,next_low_return,next_open_return,label_3,limit_day_return,limit_day_open_return,limit_day_amount,limit_day_turnover_rate,limit_day_vol_ratio_5,limit_day_vol_ratio_10,limit_day_vol_ratio_20,limit_day_amp,is_yizi,market_filter_ok,market_return,market_ma,limit_pool_name,limit_pool_turnover_rate,limit_pool_float_market_cap,limit_pool_total_market_cap,limit_pool_amount,limit_pool_seal_amount,limit_pool_first_limit_time,limit_pool_last_limit_time,limit_pool_open_board_count,limit_pool_prev_limit_time,limit_pool_first_limit_time_tier,limit_pool_first_limit_time_tier_rank,limit_pool_seal_strength_pct,prev_limit_time
2026-05-06,002174,10.32,10.55,10.2,10.48,44186088.0,,4.839646293138252,2026-04-29,2026-04-30,7.156012058258057,100e_300e,3.0,10.0,10027612590.08,0.0234375,0.0302734375,2.4958962931382516,10.48,2026-05-07,0.02099236641221358,0.018129770992366456,-0.007633587786259555,-0.001908396946564861,False,0.1005405405405404,0.06486486486486487,,,1.2177957952254435,1.4409669410336943,1.7200805202534983,0.041965199590583424,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,002786,7.82,8.05,7.76,8.05,28675804.0,,4.7692984338471796,2026-04-29,2026-04-30,8.974675178527832,lt_50e,5.0,20.0,3873838080.0,0.026785714285714413,0.026785714285714413,2.0907270052757387,8.05,2026-05-07,0.001242236024844745,-0.011180124223602594,-0.018633540372670843,-0.006211180124223725,False,0.10056657223796028,0.04532577903682733,,,2.059810655870369,2.7727265816648656,3.109559034846991,0.05284552845528445,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,001336,29.4,30.58,29.0,29.67,5961786.0,,4.172771100943086,2026-04-29,2026-04-30,14.14749526977539,lt_50e,5.0,20.0,1426428679.2,0.025933609958506132,0.057399723374826905,1.579410105092473,29.67,2026-05-07,0.017526120660599886,-0.003370407819346166,-0.007751937984496138,-0.007751937984496138,False,0.09988649262202043,0.029133560348089338,,,2.1496981106186532,2.756559785954483,2.5918248481175605,0.07866419294990723,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,002079,11.82,12.08,11.75,11.94,79574070.0,,3.927473089358621,2026-04-29,2026-04-30,14.339404106140137,50e_100e,4.0,15.0,9483783133.5,0.02051282051282044,0.032478632478632585,1.8761910380765767,11.94,2026-05-07,0.03768844221105527,0.014237855946398703,-0.00670016750418756,-0.00335008375209378,True,0.09971777986829711,0.054562558795860694,,,1.4138917401752007,1.5353798804711645,2.102643751352044,0.0428189116859945,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,603017,15.54,15.95,15.13,15.74,38710902.0,,3.7994418207065292,2026-04-29,2026-04-30,16.428741455078125,lt_50e,5.0,20.0,4253330512.2000003,0.02207792207792214,0.03571428571428559,1.591649612914315,15.74,2026-05-07,0.03430749682338008,0.027954256670902122,-0.012071156289707674,-0.006988564167725531,True,0.09999999999999987,0.007194244604316502,,,0.8342042108990116,0.9846780511318219,0.9549376064933519,0.10317460317460325,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,000551,16.35,16.64,16.27,16.42,44508411.0,,3.647642908655342,2026-04-29,2026-04-30,12.337388038635254,50e_100e,4.0,15.0,7888428448.56,0.008599508599508532,0.02211302211302213,2.7876920487044887,16.42,2026-05-07,0.018879415347137662,0.012180267965895109,-0.0073081607795372205,0.0006090133982945556,False,0.09979064898813683,0.07815771109560354,,,1.1090753416120427,1.3950795949031356,1.554206351334325,0.020064724919093946,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,002520,5.93,6.0,5.9,5.99,52515054.0,,3.5646464436055942,2026-04-29,2026-04-30,11.62384033203125,lt_50e,5.0,20.0,4254420214.0299997,0.010118043844856706,0.01180438448566612,2.5528420591199237,5.99,2026-05-07,0.058430717863105164,0.025041736227044975,0.0,0.0,True,0.0994263862332696,0.03824091778202665,,,1.446584345333697,1.4945409422423488,1.6283641612865394,0.058931860036832484,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,001203,52.4,53.5,51.15,53.3,34629450.0,,3.329250210457441,2026-04-29,2026-04-30,3.527292490005493,gte_300e,1.5,8.0,68315506321.82,0.01892563563372196,0.02274899636780736,1.436686647085245,53.3,2026-05-07,-0.011069418386491447,-0.06022514071294549,-0.09943714821763594,-0.011069418386491447,False,0.09991423670668942,0.0006432246998284707,,,1.1158877420145723,1.134947047333604,1.135912538720095,0.10679611650485432,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,603508,26.26,26.98,26.02,26.7,10646702.0,,3.0813135025070815,2026-04-29,2026-04-30,4.526886463165283,50e_100e,4.0,15.0,9974137702.32,0.020642201834862428,0.031345565749235416,1.0170933190208387,26.7,2026-05-07,0.004868913857677848,-0.004494382022471988,-0.008614232209737893,-0.0007490636704119424,False,0.1000841042893188,0.04962153069806563,,,3.069036496417954,4.081133073295132,4.472366262224329,0.04807692307692313,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
2026-05-06,002756,87.48,89.88,85.0,88.39,26805282.0,,2.8302072989740137,2026-04-29,2026-04-30,7.852743148803711,gte_300e,1.5,8.0,33768679572.839996,0.013182026593305807,0.030261348005502064,1.512004639643433,88.39,2026-05-07,0.0030546441905192623,-0.06165855866048198,-0.08632198212467468,-0.004412263830750107,False,0.10002625360987127,0.0005250721974270345,,,0.905274020838541,0.9626495949448524,1.0403225309620214,0.09944896352663335,False,True,0.024680073126142732,16.286,,,,,,,,,,,,,,
