date,cash,market_value,total_value
2024-05-17,3525089.3641981226,7290034.993458893,10815124.357657015
2024-05-20,4.656612873077393e-10,10803108.841971118,10803108.841971118
2024-05-21,0.0,10312292.221732719,10312292.221732719
2024-05-22,0.0,10186488.324541925,10186488.324541925
2024-05-23,9837386.025225122,0.0,9837386.025225122
2024-05-24,6558257.35015008,3224840.159018732,9783097.509168813
2024-05-27,0.0,9914682.805940282,9914682.805940282
2024-05-28,4.656612873077393e-10,10260277.122879688,10260277.122879688
2024-05-29,10019848.78394172,0.0,10019848.78394172
2024-05-30,3339949.59464724,6311565.773845545,9651515.368492786
2024-05-31,6522059.591013258,3225607.999438525,9747667.590451784
2024-06-03,9576547.802683162,0.0,9576547.802683162
2024-06-04,9576547.802683162,0.0,9576547.802683162
2024-06-05,6384365.201788775,3169954.877294796,9554320.079083571
2024-06-06,6384365.201788775,3398191.6284600217,9782556.830248795
2024-06-07,6547064.192517556,3401822.2182917744,9948886.41080933
2024-06-11,0.0,9955878.707564138,9955878.707564138
2024-06-12,3263740.873637865,6696488.449236731,9960229.322874596
2024-06-13,9869369.74497203,0.0,9869369.74497203
2024-06-14,6579579.829981353,3193478.653997113,9773058.483978465
2024-06-17,6463688.261025218,3166237.01442571,9629925.275450928
2024-06-18,6463688.261025218,3166237.01442571,9629925.275450928
2024-06-19,6442326.416951448,3161543.7413221737,9603870.158273622
2024-06-20,9560133.387148611,0.0,9560133.387148611
2024-06-21,6373422.258099074,3383638.913834718,9757061.171933793
2024-06-24,6412947.748597631,3053203.0796979778,9466150.828295609
2024-06-25,3142212.929480232,6433030.423439854,9575243.352920085
2024-06-26,0.0,9600103.301315866,9600103.301315866
2024-06-27,6516606.789285548,3041647.9269051184,9558254.716190666
2024-06-28,9619032.422268698,0.0,9619032.422268698
2024-07-01,0.0,9746938.2668707,9746938.2668707
2024-07-02,0.0,9465124.133011118,9465124.133011118
2024-07-03,0.0,9100097.276474979,9100097.276474979
2024-07-04,8647418.18721014,0.0,8647418.18721014
2024-07-05,8647418.18721014,0.0,8647418.18721014
2024-07-08,2882472.729070047,5487534.054366974,8370006.783437021
2024-07-09,5589820.052840369,2855705.6400826266,8445525.692922994
2024-07-10,-4.656612873077393e-10,8143698.478726303,8143698.478726303
2024-07-11,2839433.8130736086,5578837.288552891,8418271.1016265
