min_score,topk,sell_n,trailing_stop,take_profit,cooldown_after_stop,initial_cash,final_value,total_return,annual_return,sharpe_ratio,max_drawdown,num_trades,win_rate,num_sells,sell_avg_return,sell_median_return
0.7,3,5,0.04,0.0,5,10000000.0,11096790.146794658,0.10967901467946573,0.1164930965481139,0.5341124663547594,-0.1610612843013619,138,0.37681159420289856,69,0.006882191161593461,-0.018239399448712668
0.58,3,5,0.03,0.0,5,10000000.0,11182512.983239572,0.1182512983239572,0.12562743733831394,0.5142477713402329,-0.5326088669294953,871,0.38940092165898615,434,0.0019472014517845982,-0.02001965598544958
0.6,3,5,0.03,0.0,5,10000000.0,11182512.983239572,0.1182512983239572,0.12562743733831394,0.5142477713402329,-0.5326088669294953,871,0.38940092165898615,434,0.0019472014517845982,-0.02001965598544958
0.65,2,2,0.03,0.0,5,10000000.0,10460648.096888624,0.04606480968886251,0.04883965217387809,0.46561797176490144,-0.6187534134669603,672,0.4,335,0.0014274122956355031,-0.016075134177520045
0.68,1,5,0.04,0.0,5,10000000.0,9922344.763860427,-0.007765523613957326,-0.008220436568960765,0.4312480480138558,-0.4681166143149159,219,0.3853211009174312,109,0.004033379090570116,-0.024665135029693364
0.62,3,5,0.03,0.0,5,10000000.0,10580197.323784016,0.05801973237840152,0.06153563412414309,0.42760367597896576,-0.5326088669294953,871,0.3870967741935484,434,0.001571130947341684,-0.020173898404248825
0.68,2,2,0.03,0.08,5,10000000.0,10542151.46157686,0.05421514615768608,0.057494289954232114,0.39665122785674434,-0.4296598388587398,550,0.4562043795620438,274,0.001617874820823261,-0.009242419764842635
0.65,3,2,0.03,0.0,5,10000000.0,10284994.720677126,0.028499472067712528,0.03020098256873549,0.39308535519140664,-0.5140699495494596,997,0.41448692152917505,497,0.0011086311730476132,-0.013269469940693335
0.62,3,3,0.03,0.0,5,10000000.0,10271343.274424741,0.027134327442474016,0.028753200570726944,0.3914367025607778,-0.5520497061992355,933,0.4021505376344086,465,0.0012893732949269847,-0.014974307845693646
0.68,3,3,0.03,0.08,5,10000000.0,10643546.369034877,0.06435463690348775,0.06826665284112465,0.3829465392168411,-0.40641223461211284,697,0.4553314121037464,347,0.001754697804982073,-0.009449384639603542
0.58,3,3,0.03,0.0,5,10000000.0,9782673.049230542,-0.02173269507694575,-0.022996278931760816,0.31848952297908506,-0.5520497061992355,935,0.4012875536480687,466,0.0009749182024791408,-0.015524721011606846
0.6,3,3,0.03,0.0,5,10000000.0,9782673.049230542,-0.02173269507694575,-0.022996278931760816,0.31848952297908506,-0.5520497061992355,935,0.4012875536480687,466,0.0009749182024791408,-0.015524721011606846
0.68,2,2,0.04,0.08,5,10000000.0,9978003.76252357,-0.0021996237476430425,-0.002328862600676329,0.31152601344434755,-0.4318929700777281,522,0.4653846153846154,260,0.0013292661389033896,-0.0060628957549686
0.68,3,5,0.03,0.08,5,10000000.0,10155472.047616526,0.015547204761652722,0.01646923725174565,0.2834474987420382,-0.41725654939347856,683,0.4470588235294118,340,0.0014557044175200911,-0.011909672570505958
0.68,3,3,0.04,0.08,5,10000000.0,9954758.10939503,-0.004524189060496897,-0.004789679501352784,0.2349133972505458,-0.32924146038051905,647,0.4472049689440994,322,0.0013452584470098074,-0.010601014222849758
0.7,3,5,0.03,0.0,5,10000000.0,10255307.79293009,0.025530779293009065,0.027052728151285343,0.23222773098148974,-0.1771954465252069,140,0.37142857142857144,70,0.0032040365102861852,-0.01537118612308147
0.7,2,5,0.04,0.0,5,10000000.0,10124895.707838614,0.012489570783861259,0.0132290902991401,0.2125305144311091,-0.21785976405888563,118,0.3389830508474576,59,0.0029710177452419544,-0.021873772621529453
